doc_id,umap_x,umap_y,domain,source_type,review_status,title
499af8fec553497384a92cc6c1039baf,-1.8613,9.5886,academic,manual,approved,VERL vs trl: RL frameworks for LLM training
84e0e4822b99471f8e4f1a500ffae816,1.8855,7.2294,academic,manual,approved,Quantization quality degradation: Q8 to Q1 empirical analysis
027ca6698aed42ecbbfa8d4a26e67676,1.9311,7.3280,academic,manual,approved,Research: weight redundancy protects against quantization degradation
4c5ed65b0c204d6ca937e228f9394f96,1.9714,7.3064,academic,manual,approved,"Mixed-precision quantization: Protecting the Edges, MixLLM, LUQ"
8448b963e6144e22892c108ed25580b9,1.9760,7.3454,academic,manual,approved,imatrix quantization: data-driven precision allocation
81e6d755a8ef4d9f8f319b384e15d9d7,1.5931,7.2011,academic,manual,approved,Teacher model selection: 72B Q8 vs 120B Q4 for 128GB RAM
e41ca18dbaee488480510e74ff98a0f9,0.9503,7.4736,academic,manual,approved,"TinyLoRA: 13 parameters, knowledge-use skill via RL"
e67e52b25a1b4f5eaf03587ecc38b8d3,-0.4293,12.0533,academic,arxiv,unreviewed,We're Afraid Language Models Aren't Modeling Ambiguity
76ae42d169a449469cb4d3b662f9300f,-0.5029,9.7418,academic,arxiv,unreviewed,Context Engineering 2.0: The Context of Context Engineering
281ab4d2fe6845cbaded83ed4c8fdd70,0.0928,11.0745,academic,arxiv,unreviewed,In-Context Learning Is Provably Bayesian Inference: A Generalization Theory for 
79bcf3435dda4f05b30b1bb9593e2e31,1.3171,11.7150,academic,arxiv,unreviewed,Learning Structured Representations with Hyperbolic Embeddings
8ffe589e45d64d0c9a19b960763a40de,0.7989,14.2636,code,,,
eded9d1426e54b7aa4cc832943ed6b39,2.5753,12.8165,code,arxiv,approved,Text Categorization via Similarity Search: An Efficient and Effective Novel Algo
2cbbccc1028f4bc692c3e79a84f59025,0.6466,10.4077,code,arxiv,approved,Self-supervised similarity search for large scientific datasets
3f47b9abba4c4b028e00134d968543b9,1.4479,9.1007,code,arxiv,hold,Persistence for stochastic difference equations: A mini-review
8d70726c941e4417bdee619f6e3086c3,2.0411,7.5441,code,arxiv,hold,Compensate Quantization Errors+: Quantized Models Are Inquisitive Learners
d0aef46254984afebbd0929cf53f9293,1.6017,9.0153,code,arxiv,approved,Jamming of Elastoviscoplastic fluids in Elastic Turbulence
4913d86a562f437ba58db7a91800d870,0.7924,11.3110,code,arxiv,hold,FlexMoRE: A Flexible Mixture of Rank-heterogeneous Experts for Efficient Federat
a09597e8801a43cd93c7e9ffd91dcaed,0.5230,13.6581,code,arxiv,approved,Improving the Domain Adaptation of Retrieval Augmented Generation (RAG) Models f
c4dcccedc7ca4e9088f8d870c6ce5eaa,-0.7384,13.5193,code,arxiv,approved,SGDFuse: SAM-Guided Diffusion Model for High-Fidelity Infrared and Visible Image
ac649290793f40c6ae51b900026da100,2.4258,13.3485,code,tavily,approved,Hybrid Search Scoring (RRF) - Azure AI Search | Microsoft Learn
63fbb0f3dcde4ef8b667d05d97eada6a,2.3933,13.3684,code,tavily,approved,Advanced RAG — Understanding Reciprocal Rank Fusion in Hybrid ...
5e150c83e69648019a7ad6e670aa3c92,1.0048,13.4026,code,arxiv,approved,LLandMark: A Multi-Agent Framework for Landmark-Aware Multimodal Interactive Vid
e391f446d41248b6966036adaeae1eca,2.1598,12.5545,code,tavily,approved,HybridRAG and Why Combine Vector Embeddings with Knowledge ...
42c37395ff394de8be0c30138f4c7d2b,2.1138,12.4247,code,arxiv,approved,"Embedding Atlas: Low-Friction, Interactive Embedding Visualization"
afb7a7fa1878446ebbdf0fe93198bc4e,1.7077,13.8392,code,arxiv,approved,In Defense of Cross-Encoders for Zero-Shot Retrieval
182fa8da59034b01bcca679d414e4a91,1.7424,13.6144,code,arxiv,approved,Predicting Efficiency/Effectiveness Trade-offs for Dense vs. Sparse Retrieval St
eb1705ac33624e79aef89b7298f30000,3.4226,7.5721,code,arxiv,approved,GWTC-4.0: Methods for Identifying and Characterizing Gravitational-wave Transien
6c409835736940849aae5241965bc851,0.6990,13.3162,code,arxiv,approved,API Entity and Relation Joint Extraction from Text via Dynamic Prompt-tuned Lang
fe89ed5796a54d179f7de2a13a3db842,2.8936,11.6322,code,,,
1ece4dd63f5847e79ab3a16247ed526d,3.1310,11.2281,code,arxiv,approved,A Stitch in Time Saves Nine -- SPARQL querying of Property Graphs using Gremlin 
1afdc200e12c469db10c9fdb18cb9cc6,3.1336,8.9635,code,arxiv,approved,E2E Migration Strategies Towards 5G: Long-term Migration Plan and Evolution Road
521b90ad17814d518f629de612eb7578,0.5353,7.5976,code,arxiv,approved,Federated Sketching LoRA: A Flexible Framework for Heterogeneous Collaborative F
021791dc1ffc47a08629e593d928780a,-1.5946,10.0342,code,arxiv,approved,GRPO-CARE: Consistency-Aware Reinforcement Learning for Multimodal Reasoning
6b954164187341058d0321f2c471cb71,0.8362,10.1912,code,arxiv,approved,Triplet Loss for Knowledge Distillation
3e9cf5a42aab4aeba3d088634e46950f,1.3608,8.7791,code,arxiv,approved,Optimal Linear Decay Learning Rate Schedules and Further Refinements
9dbf4c45495746ca9e0ac99848b390b2,-2.4832,9.5610,code,arxiv,approved,RLHF-Blender: A Configurable Interactive Interface for Learning from Diverse Hum
9d9e269ceb0044b89c046e1da8ff3e44,-1.4444,10.4043,code,arxiv,approved,Exploring Hierarchy-Aware Inverse Reinforcement Learning
a2d451997c6541ada83ab56c3d5a8043,6.7992,9.1158,code,tavily,approved,State In Blocks - Gradio
faa2c8e576654f4486c617dcd32f51ed,10.3691,4.3505,code,tavily,approved,Asyncio concepts and design patterns | by Kanak Singh - Medium
cdbcf823d0e041fbae3534a25fc095ac,3.0366,7.7135,code,,,
424347413cd74c428c3db41c04e1762a,0.6191,10.6790,code,arxiv,approved,PyTorch Frame: A Modular Framework for Multi-Modal Tabular Learning
eafbc273f70b4f5c8512fa4f76451859,-0.8113,14.4231,code,arxiv,approved,Tree of Reviews: A Tree-based Dynamic Iterative Retrieval Framework for Multi-ho
d767f499f3da413f8a4a2a3f6bb77603,-1.2345,10.1288,code,arxiv,approved,Navigating the State of Cognitive Flow: Context-Aware AI Interventions for Effec
fadcef7c2d374f76971042ab727cabea,0.5029,14.6931,code,arxiv,approved,Exploring Information Retrieval Landscapes: An Investigation of a Novel Evaluati
daca01c038d1400aae0189f4acbd628f,0.4178,14.5836,code,arxiv,approved,Vision-Guided Chunking Is All You Need: Enhancing RAG with Multimodal Document U
8ba6751f027149f3bd61fc855d1ecfe7,10.6954,4.2690,code,,,
c4f08e9fe5eb4acb830d5b7db3c89437,1.9517,12.9877,code,,,
5e41654674a340adb74808fc9701c880,3.5198,8.4520,code,,,
8be5b5096d7445f5a03b75cd9f750879,3.0043,7.6604,code,,,
0f8cd816966c4827ac90c5cd33edc09c,10.3281,4.3895,code,,,
3d64b58b7ae54a0eae96ae2a4455d043,2.0855,13.2460,code,,,
09aca211b4cc410497bfc50c811eebe7,1.9445,13.0343,code,,,
a479ea51a5a34f9b8a43c6469bb1dd79,1.4717,14.3919,code,,,
5a653d6bf8324a6fb2cc4122f5d62701,2.5658,11.8900,code,,,
0c0db35b9c9741c295c743d6a14162d0,6.5129,5.6529,code,,,
e2ed695a84a342538f13a68873bd273f,2.8527,11.5533,code,,,
15cf4c0ef66340688a4c9dacd64b6cd8,10.4255,4.4210,code,,,
71ebe78914484490a58369bbb3ba4628,10.6903,4.3062,code,,,
33a2881017394816a4f651385dcf969d,9.4828,7.7396,code,,,
682a211535674f31bdf5cd892c239a13,10.3037,4.2832,code,,,
356962ba315e4d7e92add6b30556751a,10.3553,4.2642,code,,,
cc8c6405bf8747699d96a0daedf5bf9f,10.4054,4.4319,code,stackoverflow,approved,How to convert lots of HTML to JSON with asyncio in Python
0799eaf1e3c545a9acc4676886b422a3,10.3761,4.2823,code,stackoverflow,approved,How to timeout an async test in pytest with fixture?
00b6282ed52f4fd99ffe6e5e48ae37b9,-0.5201,10.3868,code,arxiv,approved,Information Fusion in the Immune System
ff9c9b3212e741a0bee72af4c9e31a43,2.4123,13.3516,code,tavily,approved,What is Reciprocal Rank Fusion? - ParadeDB
79f6da3a403942e6babcc3776a42f530,-0.0597,13.0162,code,tavily,approved,SELF-RAG: Revolutionizing AI Language Models with Self ... - Medium
de53802de5e64f5abd8eb60f8829c839,2.0016,12.5053,code,arxiv,approved,Knowledge Graphs on the Web -- an Overview
15c4e4b8b4b34d18a9e21fe2d8f3f008,0.3818,15.0275,code,arxiv,approved,Scale-free Characteristics of Multilingual Legal Texts and the Limitations of LL
1b177a6287bd4523b03f4a920a87e8a7,1.9667,13.3946,code,arxiv,approved,A Thorough Comparison of Cross-Encoders and LLMs for Reranking SPLADE
bcd04d9c0d264525b83215b23c806322,2.8916,11.5998,code,arxiv,approved,Formal Semantics of the Language Cypher
e56ee3c1071a4460831e8b991d9151b0,2.4942,7.5140,code,tavily,approved,Mixed Precision — PyTorch Training Performance Guide
52b7a760c0a64e3bb57913292dbd41b1,5.0057,5.2393,code,arxiv,approved,pytest-inline: An Inline Testing Tool for Python
19fd3ac566384ec2bc01694c68d477ce,2.9471,11.5848,code,arxiv,approved,Ontological Queries: Rewriting and Optimization (Extended Version)
c875f741ef4c43019f7e9c7d418f8abd,0.3568,15.1300,code,arxiv,approved,"Citation-Enforced RAG for Fiscal Document Intelligence: Cited, Explainable Knowl"
ff3fb12586cb47faba14d7bffe45999a,3.0160,7.6836,code,arxiv,approved,GPU-Acceleration of Tensor Renormalization with PyTorch using CUDA
b7df4586df154d788bd451afd56ec1e1,1.3721,8.7023,code,arxiv,approved,Adaptive Learning of the Optimal Batch Size of SGD
f834f6945b8b4454aabbb92083672b99,-0.0353,13.7225,code,arxiv,approved,AR-RAG: Autoregressive Retrieval Augmentation for Image Generation
94750d3a1f9c45b6bc482620a2ec0e10,0.4749,14.0796,code,arxiv,approved,Blended RAG: Improving RAG (Retriever-Augmented Generation) Accuracy with Semant
fd477ef05a5443688ff0c63c6608c9d3,1.3402,13.4106,code,arxiv,approved,Long-Range Transformer Architectures for Document Understanding
6f3540d5e7724648ba83ecf659fc1103,-0.5418,10.4142,code,arxiv,approved,Information Fusion in the Immune System
ab33c7b931d343c8a04a26f18cb36ea7,2.3327,13.3490,code,tavily,approved,Real-Time Hybrid Search Using RRF - Spice AI
a733f92bd5884e1a8811a0fa05741a8f,0.7787,10.3878,code,arxiv,approved,Meta-learning: searching in the model space
807171a033164807a45dddff0ce70418,1.5348,14.3060,code,arxiv,approved,Trans-Encoder: Unsupervised sentence-pair modelling through self- and mutual-dis
9835b2a2fab743b7b6c7ec1092ca1f0f,1.2305,13.3171,code,arxiv,approved,Video-ColBERT: Contextualized Late Interaction for Text-to-Video Retrieval
597719ba24dd4e1ab04ad23591bf21ee,1.5930,13.3666,code,tavily,approved,jina-embeddings-v5-text: Compact multilingual embedding models
f9aad03fcd944cebab0398924bda0e13,3.2596,11.0796,code,arxiv,approved,High-Level ETL for Semantic Data Warehouses -- Full Version
5a68be4c88a444718b7468a7de46152f,1.5655,14.3564,code,arxiv,approved,Learning Cross-Lingual Sentence Representations via a Multi-task Dual-Encoder Mo
6e4478769eaf4ed795cdd201b4a02fd2,2.1713,12.3137,code,arxiv,approved,On the Interpretability and Evaluation of Graph Representation Learning
eaa219488a714cdaad61e65495b6135a,1.4543,11.2294,code,arxiv,approved,Auto-Cypher: Improving LLMs on Cypher generation via LLM-supervised generation-v
37bcc09f79c74206901a338f4458cc46,0.6354,13.3488,code,arxiv,approved,BanglaCoNER: Towards Robust Bangla Complex Named Entity Recognition
9a1187ae01e44e809b6a57bf87a8de82,0.6275,13.2314,code,arxiv,approved,CMNEROne at SemEval-2022 Task 11: Code-Mixed Named Entity Recognition by leverag
66c0e6567f384698bd528af1636c6175,-1.9319,9.6338,code,arxiv,approved,SED-SFT: Selectively Encouraging Diversity in Supervised Fine-Tuning
cca066dea675495c9dc5520dcd749a10,-2.3402,9.9751,code,arxiv,approved,Improving LLM Safety and Helpfulness using SFT and DPO: A Study on OPT-350M
ee6c6637944842e98b112ec47347fd3d,0.5208,7.6231,code,arxiv,approved,LoRA-FAIR: Federated LoRA Fine-Tuning with Aggregation and Initialization Refine
b2bd55def4d840e5a047a4df35cb9704,0.9195,7.4455,code,arxiv,approved,EMLoC: Emulator-based Memory-efficient Fine-tuning with LoRA Correction
faf05f90712648c7a6ebfd99bcb97789,1.0105,12.3318,code,arxiv,approved,Evaluating and Steering Modality Preferences in Multimodal Large Language Model
ec6525ef24134c6a8024b19a8ce612f4,0.7144,7.4110,code,arxiv,approved,Low-Rank Adaptation with Task-Relevant Feature Enhancement for Fine-tuning Langu
88fd30d37209465a82a2f3192f6e834d,2.2956,9.0644,code,arxiv,approved,Designing an Adaptive Application-Level Checkpoint Management System for Malleab
